TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
9.148662132,-336.051,75.1803,21.5827,-11.0087,-0.95261,1.40598,-5.83681,1.29252,13.1662,9.06969,-2.09568,-3.85498,-0.528194,-0.885295,-1.66306,5.23118,9.30067,4.15804,-3.47338,-4.45105,-1.77882
9.171882086,-339.376,74.1755,20.1592,-14.5502,-0.111044,0.202883,-3.50507,0.826273,10.0475,8.32872,-1.09779,-1.97349,-0.824223,-2.2141,-0.619324,4.10919,7.7546,3.44498,-4.30206,-4.76078,-0.258324
9.195102041,-342.673,71.2255,22.8049,-10.8345,-1.18813,-2.51829,-3.53713,2.64408,13.022,9.5577,-0.200588,-4.32425,0.413868,1.62125,0.107273,4.49078,7.82905,4.49034,-1.97151,-5.54254,-0.872905
9.218321995,-339.449,73.5404,21.2204,-11.8709,-1.97426,-0.397525,-3.69057,2.07408,12.4901,9.14579,-1.42181,-4.43716,1.74245,0.980617,-0.887485,5.13958,9.08042,3.32468,-3.17105,-5.22049,-2.37641
9.241541950,-343.939,72.7807,22.8665,-12.4711,-5.38567,-3.32585,-2.34674,-0.0833106,5.50963,7.71573,0.412883,-3.47111,0.263519,0.0717551,0.848076,6.09762,9.72605,5.76002,-0.488985,-3.81887,-1.4882
9.264761905,-345.725,72.0073,23.2188,-7.80895,0.910224,0.15407,-5.12145,-3.21191,5.78284,8.23107,3.95347,0.862116,1.26275,-4.48073,-4.38812,3.69232,10.1459,6.35667,0.865793,-1.81701,-4.54934
9.287981859,-351.082,69.3168,25.7972,-5.03294,4.61248,4.2691,-3.78809,-5.05808,2.42954,5.05018,4.82752,4.84525,1.77578,-2.13168,-2.21532,3.46672,8.42972,6.07472,2.14,-2.85856,-4.50751
9.311201814,-332.533,76.1886,22.4929,-14.6681,-4.68879,-2.9516,-6.28093,-0.228563,10.7107,10.0035,4.52146,-1.26314,-0.548711,1.6022,-1.99369,-1.12176,2.23683,4.41468,0.938313,-2.85186,-3.5092
9.334421769,-346.975,70.9494,25.6539,-11.7979,-2.67546,-0.0320374,-2.15137,-1.98137,9.63793,14.9777,2.92162,-6.741,-7.5307,-2.93221,-2.26893,-0.839648,6.03103,8.82579,5.32624,0.104036,-0.89535
9.357641723,-346.796,71.0732,25.41,-9.35445,-0.238257,3.75143,0.282983,1.4167,11.3433,10.5784,0.874625,-4.44016,-1.5755,-5.01388,-7.10895,-3.14977,4.74286,8.89826,5.50572,-0.338364,-2.77584
9.380861678,-344.987,72.5164,25.6033,-10.4071,-1.6877,2.61893,-3.46118,-0.729192,8.71143,12.3647,1.95647,-7.54137,-5.98427,-1.27901,-2.31158,-1.99643,6.36267,8.94853,5.93314,0.63491,-2.07545
9.404081633,-342.839,70.2941,20.5871,-12.3338,0.443746,3.09703,-3.77731,-1.60403,9.1443,9.17591,1.45849,-6.88849,-4.29389,-3.72267,-7.53353,-1.37807,5.43074,9.40452,7.83899,1.18327,-3.14808
9.427301587,-345.385,72.2371,23.6633,-10.3452,0.374599,4.15719,-2.9327,-1.73523,9.22016,12.2714,1.65878,-6.91754,-6.35278,-3.48039,-4.75005,-2.64543,4.78943,10.0038,5.2854,-0.619337,-2.90903
9.450521542,-339.631,72.0831,19.6957,-11.6672,0.920264,1.29907,-3.81096,1.31433,8.53253,8.99667,2.44906,-2.17104,-4.40823,-5.54399,-5.02346,-1.4927,4.20437,9.12539,5.54133,-1.23951,-3.57186
9.473741497,-343.35,71.4125,24.2289,-11.53,-2.49242,-0.216713,-4.66975,-1.8214,7.967,11.991,1.45011,-7.62685,-4.35161,-3.39066,-4.64186,-2.13643,5.44245,10.9131,4.72241,0.389503,-2.44111
9.496961451,-345.758,71.3809,23.2102,-11.1594,-3.65153,1.92447,-3.84828,-3.80063,8.24462,10.6864,1.47604,-7.7104,-6.15169,-3.94437,-5.01716,-3.74949,6.4547,10.2566,6.1958,0.590912,-2.86036
9.520181406,-341.416,73.2463,22.9639,-15.0812,-3.88286,0.779236,-5.67787,-3.38785,7.25701,8.03142,0.0716234,-7.0377,-5.34184,-5.08344,-3.27701,-0.0991419,4.04599,8.69192,7.31568,0.429913,-2.5666
9.543401361,-351.451,71.5672,28.9451,-4.47758,-1.06696,-0.877037,-2.93731,-0.781908,3.34779,4.83905,2.62482,-1.98925,-4.75402,-4.53135,-5.37394,-0.501525,3.32412,7.38638,8.14018,2.31934,-3.22207
9.566621315,-351.468,69.4458,29.1583,-6.47905,-2.68509,0.33848,-0.931634,-1.69245,3.50977,7.42361,2.92414,-2.74209,-3.98195,-2.40999,-5.44584,-3.71429,3.75665,10.0218,6.91059,2.30366,-1.96071
9.589841270,-355.266,64.7947,27.8148,-7.05047,-0.843423,3.27182,0.117588,-1.65223,0.51545,3.36817,-1.56545,-5.68983,-2.00912,-1.23354,-2.67284,0.0644789,7.68043,7.13241,2.85597,-0.8755,-1.50487
9.613061224,-355.077,67.9862,24.5468,-10.1546,-0.350753,2.95082,-0.0883885,-0.26842,6.06158,5.08849,-1.5485,-5.38718,-5.64219,-4.03394,-2.66664,0.104791,6.0221,8.65656,3.0725,-1.47752,-1.3546
9.636281179,-349.8,69.8116,23.4308,-12.4009,-3.10051,4.50553,3.37104,1.85374,5.64575,5.89111,-0.373479,-5.18986,-3.12797,-3.33394,-5.50669,-0.894017,5.21817,9.44846,3.57902,-1.501,-2.65969
9.659501134,-349.465,71.0776,25.903,-10.4312,-2.61544,1.31306,0.672523,2.25267,4.15546,3.23027,-2.9179,-6.67858,-2.71819,-2.79091,-4.99696,-0.0110661,8.42338,10.6133,6.35969,-1.06468,-2.21183
9.682721088,-352.254,66.1452,24.9099,-8.04131,-2.25833,2.61417,1.29123,1.65855,3.12122,2.26866,-4.24056,-4.28261,-3.14048,-4.96998,-3.81013,-0.667263,7.95637,10.6713,3.6768,-1.43053,-1.96745
9.705941043,-357.336,64.1826,24.2959,-10.1061,-1.97535,4.48089,1.83093,-0.79724,2.4549,2.49961,-4.89064,-5.3802,-2.93814,-3.34656,-1.64481,0.492762,6.10574,7.32187,4.01614,-1.3161,-2.65767
9.729160998,-357.174,64.5607,24.4476,-10.0252,-0.91456,3.90702,1.89776,0.885035,5.13164,4.10269,-1.32915,-4.7604,-5.59575,-3.21699,-4.57827,-1.29294,5.33082,8.37632,4.18249,-0.630348,-0.943568
9.752380952,-359.509,64.3076,25.1226,-8.03054,-3.37965,3.26332,3.45989,0.580823,5.00466,3.67239,-2.91179,-5.18963,-3.79617,-2.1729,-2.97003,0.380533,9.00635,10.2757,3.86258,-1.42937,-2.35393
9.775600907,-360.975,66.3238,24.3777,-8.0131,-2.36787,0.845081,2.98942,0.961243,4.03867,2.36118,-2.41352,-5.27344,-3.0834,-0.389711,-1.06075,1.59381,8.6393,9.42344,4.01809,-2.88303,-4.50996
9.798820862,-364.499,65.3576,28.0484,-6.70365,-5.43126,-1.31961,0.573337,0.960181,2.91016,3.81119,1.20188,-5.43821,-3.92846,-3.11775,-2.62958,0.789175,7.99621,9.55965,4.63083,0.0157075,-2.92355
9.822040816,-354.295,66.7502,28.1347,-8.36166,-5.35383,-4.2224,-4.86372,-2.66291,2.91804,4.00994,-1.54389,-3.26334,-1.59261,-2.03163,0.0832895,1.83928,6.59854,6.46183,1.13575,-2.98271,-4.26192
9.845260771,-355.081,69.2538,30.1497,-8.33644,-8.58277,-5.84341,-4.92881,-3.48476,-0.924173,4.59195,5.87845,1.63236,0.618192,-1.07688,-2.75615,-3.22972,-1.24135,1.94207,2.6895,2.88579,0.436126
9.868480726,-355.032,67.0112,26.7683,-9.56512,-6.45329,-0.277399,-2.70503,-6.24208,1.40068,8.00314,8.0422,2.22135,-1.58091,-1.81393,-3.83906,-3.0066,1.54695,1.92642,5.61906,3.6877,1.22099
