Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5dGVfomXd5Ncq05wQhHI47,"P I E N S A S E N M I","PRIMERA MUSA","Omar Courtz;Luar La L",2024-09-20,230201,68,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:10Z,"trap latino","Mr.305 Records / Rimas Entertainment LLC.",0.595,0.746,5,-4.177,0,0.19,0.231,0,0.121,0.584,177.955,4
spotify:track:7E5qtyFBvbyfNbHOTR42rs,"G O D D E S S","PRIMERA MUSA","Omar Courtz",2024-09-20,155053,72,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.682,0.608,7,-7.269,1,0.0806,0.587,0,0.124,0.375,138.03,4
spotify:track:3WZqTFGMU04pDM5JaGQBZz,"H E A V Y","PRIMERA MUSA","Omar Courtz",2024-09-20,198906,66,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.686,0.605,7,-6.691,0,0.233,0.167,0,0.137,0.588,87.077,4
spotify:track:3H0a65Ckefe6FA4kSMZ3D7,"P I E N S O E N S E X X X O","PRIMERA MUSA","Omar Courtz",2024-09-20,213358,68,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.77,0.664,0,-5.377,1,0.148,0.197,0,0.108,0.742,135.112,4
spotify:track:61tC2eD62xjmkEX9FGEad7,"UNA NOTi","PRIMERA MUSA","Omar Courtz",2024-09-20,200000,76,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.691,0.694,4,-4.951,0,0.0386,0.297,0,0.209,0.472,95.933,4
spotify:track:7vPsviPvbWsFd9VuftF5JT,"M U S A E L E V Á","PRIMERA MUSA","Omar Courtz",2024-09-20,187160,76,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.671,0.761,8,-4.826,0,0.123,0.279,0,0.269,0.514,94.968,4
spotify:track:0PvkxArXWRKoQTT0ttLmHI,"DRIPPEO KBRON","PRIMERA MUSA","Omar Courtz;Dei V",2024-09-20,198712,64,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"trap latino,urbano latino","Mr.305 Records / Rimas Entertainment LLC.",0.643,0.892,4,-3.002,0,0.151,0.329,0,0.449,0.522,92.982,4
spotify:track:5z0sH31SHrXEHVaOptIARX,"⁠P o l v o s Q u e N o S e O l v i d a n","PRIMERA MUSA","Omar Courtz",2024-09-20,184881,70,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.656,0.714,6,-8.316,1,0.0474,0.162,0.0000701,0.12,0.165,125.956,4
spotify:track:6BYL7xCy4FSbqVu29akzPO,"I N T E R L U D I O","PRIMERA MUSA","Omar Courtz",2024-09-20,192280,67,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.418,0.55,0,-7.038,1,0.183,0.861,0.00000137,0.118,0.269,78.524,4
spotify:track:6hXcH4KnoRgkFQDhvxo872,"2 K 1 6","PRIMERA MUSA","Omar Courtz;Bryant Myers",2024-09-20,245933,71,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:26Z,"trap latino,reggaetón,trap,urbano latino","Mr.305 Records / Rimas Entertainment LLC.",0.705,0.6,1,-6.355,1,0.0806,0.185,0,0.213,0.369,124.949,5
