TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
40.681360544,-252.408,38.8517,10.8041,4.51215,-6.38473,9.21043,-11.5671,8.31608,-7.93712,0.268644,1.9672,-3.35122,-0.375636,3.47982,-4.34486,0.4491,-3.97534,0.106316,-4.59524,-2.29482,-3.14881
40.704580499,-261.593,37.4118,10.432,3.10057,-7.00061,8.24022,-10.2423,4.49156,-7.1446,0.100979,-0.585364,-1.42526,-1.5773,2.32767,-1.79834,3.07146,-1.94156,1.51595,-4.19555,-0.608286,-1.54322
40.727800454,-259.732,32.1296,12.9751,1.14076,-4.50791,5.34285,-3.62844,2.72368,-4.50588,-1.0352,-1.43225,-0.369816,-0.713951,1.70556,-2.77232,1.60877,-1.76458,3.60606,-0.596413,-1.68801,-3.98974
40.751020408,-243.87,30.2845,0.0353782,4.35643,4.14389,0.98013,-3.89499,4.57125,-8.85193,2.5676,-3.49566,-4.00699,-4.7773,4.77018,-6.89884,1.32447,-0.532931,2.15428,-1.78328,1.94861,-0.399832
40.774240363,-178.698,-0.126399,0.858429,11.4949,-8.82208,10.2129,-2.16741,-2.76974,-4.31923,-0.596233,-3.26011,-0.645928,-0.549982,-1.21009,-1.07555,1.77898,-1.02895,-1.14482,-1.608,-2.92002,-1.14761
40.797460317,-121.811,4.5964,-9.5545,-2.03191,-1.98295,1.14777,-0.728712,-0.94233,-2.63666,-1.39717,-1.95974,0.361271,-1.51084,-1.88868,-4.05415,-1.05582,-2.14445,0.73428,0.149164,-0.641629,-2.22555
40.820680272,-145.835,11.9283,1.67352,6.09008,2.41055,5.09673,-3.98212,2.96315,-1.20129,0.591481,-1.06854,1.8098,-1.9534,0.431528,0.530068,1.46851,-1.5079,-1.10524,-1.65468,-0.937894,-1.30583
40.843900227,-159.364,18.6101,4.53444,2.39012,-0.606979,8.47786,-4.65058,8.49708,-6.58771,3.91291,1.09558,2.00226,-0.340583,0.292104,1.03063,3.49215,0.867599,1.73063,3.83926,0.769892,0.0168969
40.867120181,-176.453,12.6593,1.49317,0.487361,-0.355368,5.45408,-7.00853,8.74929,-9.16237,1.05722,0.242809,-0.0553749,-1.61257,-3.693,-0.897967,3.11011,0.126707,-1.45732,-0.377141,-0.848905,-0.0267855
40.890340136,-178.705,23.1641,4.92912,7.0291,9.60464,4.42264,-4.60602,10.5809,-11.7286,-0.590266,6.45661,1.0909,-2.84918,-3.41657,0.186009,3.6898,2.60243,-0.0203185,0.613719,-2.01888,-1.46316
