TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
6.037188209,0.177108,0.0518067,0.581075,0.0751387,0.0105526,0.345305,0.0465448,1.4355,0.0785647,0.677998,0.106262,0.88975
6.083628118,0.215077,0.0115151,0.815481,0.1203,0.08228,0.181462,0.11971,1.76588,0.281904,0.5224,0.209809,0.697359
6.130068027,0.268074,0,1.08687,0.160968,0.130942,0.20202,0.175657,1.61127,0.499784,0.269333,0.263047,0.547327
6.176507937,0.151636,0,1.25311,0.250987,0.191532,0.698528,0.175704,1.30365,0.515178,0.056734,0.23623,0.634694
6.222947846,0.0287776,0,1.04535,0.182596,0.16973,0.974751,0.054784,0.939149,0.382792,0,0.0675659,0.925482
6.269387755,0.00919944,0,0.848564,0,0.158668,1.01217,0.0416906,1.03912,0.230794,0.00744301,0.0519529,1.50874
6.315827664,0.00493426,0,0.761805,0,0.113775,0.982943,0.0329193,1.16562,0.22669,0.056586,0.0635974,1.6334
6.362267574,0,0,0.745461,0,0.106023,0.988095,0.0281371,1.10953,0.284849,0.116179,0.0728649,1.55992
6.408707483,0,0,0.822107,0,0.0920612,0.933072,0.0260083,1.18983,0.376529,0.258603,0.123157,1.12037
6.455147392,0.0177641,0,0.897459,0.0381425,0.087932,0.778998,0.0232014,1.29,0.409368,0.245687,0.0781653,0.9291
6.501587302,0.039756,0.0242984,0.734223,0.0839894,0.0938028,0.687414,0.0769753,1.41555,0.290454,0.192957,0,1.01915
6.548027211,0.0340164,0.0717345,0.630187,0.746871,0.151861,0.700674,0.286035,1.22466,0.125302,0,0,0.837157
6.594467120,0.0161829,0.333839,0.763854,0.582923,0.152464,0.61912,0.227166,1.08919,0.125307,0.0627257,0.0690842,0.697896
6.640907029,0.0158837,0.405798,0.948335,0.435657,0.127373,0.725212,0.048628,1.05602,0.106851,0.0413957,0.129262,0.530393
6.687346939,0,0.454136,1.02112,0.286976,0.0233309,0.821432,0.0324087,0.979792,0.152948,0.0362832,0.169973,0.503758
6.733786848,0,0.48691,1.02559,0.196757,0,0.773446,0.0371502,1.08869,0.32436,0.0554113,0.185803,0.538721
6.780226757,0.000376633,0.451564,0.953734,0.312661,0,0.800687,0.0385,1.16215,0.195237,0.099084,0.167758,0.495016
6.826666667,0.0813078,0.472088,0.845291,0.400173,0,0.752431,0.0372471,1.08121,0.0763528,0.0703163,0.304587,0.418656
6.873106576,0.177353,0.405877,0.735352,0.39734,0,0.432358,0.0422957,1.13797,0.107569,0.0212334,0.468931,0.435985
6.919546485,0.150138,0.357012,0.751012,0.287996,0,0.386571,0.038477,0.957836,0.105554,0.0152295,0.482163,0.59954
6.965986395,0.0857327,0.279374,0.797272,0.20901,0,0.562773,0.0372734,0.835603,0.164115,0.00451212,0.380004,0.736707
7.012426304,0.0427482,0.139898,0.725627,0.267067,0,0.690452,0.038839,0.810235,0.122876,0.306437,0.133561,1.04661
7.058866213,0.0508669,0.0858474,0.707119,0.254253,0,0.756207,0.0400916,0.898726,0.102605,0.691007,0.0864044,1.0849
7.105306122,0.0566446,0.0375116,0.791093,0.0750416,0.00670057,0.751557,0.0401297,0.825762,0.132881,0.77196,0.106437,1.28499
7.151746032,0,0.00172459,0.887512,0.0613453,0.0130263,0.966753,0.0362038,0.888109,0.223859,0.861054,0.0915248,1.32712
7.198185941,0.0126238,0,0.940029,0.158864,0.0417741,0.915978,0.0326957,1.01065,0.275792,0.801785,0.031895,1.31764
7.244625850,0,0,1.06925,0.128676,0.0986713,0.747231,0.0303934,1.01764,0.235551,0.584469,0,1.30723
7.291065760,0,0,0.961036,0.0100222,0.0982606,0.633796,0.029271,1.56691,0.119357,0.167946,0.0263016,1.13557
7.337505669,0.061747,0,0.934832,0,0.0748978,0.551491,0.0263449,1.70351,0.100079,0.036108,0.0366404,1.26338
7.383945578,0.105241,0,0.924636,0.00334825,0.0790072,0.440573,0.023818,1.50826,0.118997,0.127605,0.0441348,1.07738
7.430385488,0.0511032,0,0.889138,0.024766,0.10776,0.47308,0.0233111,1.35589,0.160949,0.313847,0.0501911,0.648598
7.476825397,0.00263864,0.00351209,0.954676,0.0884729,0.0879848,0.639876,0.0216029,1.09749,0.205615,0.374227,0.0458123,0.675498
7.523265306,0,0,0.955871,0.309358,0.0751198,0.718338,0.0221533,1.10491,0.220404,0.293026,0.00138435,0.702295
7.569705215,0,0,0.964058,0.514979,0.075769,0.528065,0.0197161,1.534,0.263078,0.168692,0.0212094,0.571334
7.616145125,0.0632731,0,0.902829,0.786321,0.166551,0.105477,0.0443308,1.60228,0.239491,0.0142788,0.100096,0.647511
7.662585034,0.0683232,0.115546,0.800504,0.701153,0.226043,0.109179,0.151582,1.55307,0.293647,0.0264371,0.225487,0.806974
7.709024943,0.0393076,0.29163,0.639904,0.610831,0.35628,0.352028,0.158873,1.51062,0.397299,0.113717,0.224953,0.94463
7.755464853,0,0.397643,0.632933,0.560628,0.126171,0.743718,0.107646,1.41903,0.153794,0.172506,0.186028,0.916471
7.801904762,0,0.587116,0.684124,0.38849,0,0.858776,0.0781129,1.42135,0.127579,0.162168,0.160628,0.873835
7.848344671,0,0.441841,0.797437,0.15561,0,0.790391,0.0315931,1.30129,0.118332,0.170199,0.154456,0.801451
7.894784580,0.288394,0.37127,1.04299,0.0794775,0,0.508573,0.0353984,1.20934,0.105419,0.354494,0.166835,0.71428
7.941224490,0.39299,0.242454,1.17358,0.0624487,0,0.404116,0.0378501,1.10578,0.087066,0.596354,0.164442,0.72585
7.987664399,0.384248,0.131955,1.2365,0.0497255,0,0.490994,0.0411572,1.07572,0.0746653,0.631754,0.14987,0.589256
8.034104308,0.368128,0.051524,1.36422,0.0214587,0,0.411946,0.0406499,1.4031,0.0652343,0.426915,0.124395,0.433715
8.080544218,0.286904,0.0689784,1.18148,0.0566935,0,0.224467,0.0403377,1.72032,0.0574834,0.307113,0.0838305,0.684656
8.126984127,0.121019,0.0872242,0.742066,0.113914,0,0.624246,0.0426026,1.38955,0.0524273,0.43461,0.0919841,1.01328
8.173424036,0,0.100769,0.626286,0.245729,0,0.967699,0.0475575,0.569821,0.0607465,0.453072,0.0935884,1.17152
8.219863946,0.0172748,0.242333,0.628163,0.456001,0,0.838071,0.0896729,0.745171,0.106975,0.411796,0.0657389,1.15812
